quarter,UK real GDP,UK nominal GDP,UK corporate profits,UK household income,UK residential property price index,UK commercial real estate price index - aggregate,UK equity prices,Bank Rate,Sterling IG corporate bond spread,Sterling HY corporate bond spread,Secured lending to UK individuals,Consumer credit to UK individuals,Lending to UK PNFCs,Deposit volumes,"2yr fixed mortgage rate, 75% LTV",Instant access savings rate,PPP-weighted World real GDP,World trade,Volatility index,Euro area real GDP,ECB policy rate,Euro area residential property price index,US real GDP,US equity prices,US policy rate,US residential real estate price index,US dollar IG corporate bond spread,US dollar HY corporate bond spread,China real GDP,China residential property price index,Hong Kong real GDP,Hong Kong residential property price index,India real GDP,period_kind,UK nominal GDP index
Q1 2011,419828.0,406938.0,185731.0,287218.0,77.1,,82.0,0.5,201.1,545.6,0.5,-1.4,-2.4,1216492.0,3.7,1.3,82.8,83.8,18.5,95.9,0.3,97.2,88.6,59.6,0.3,75.7,150.0,478.7,66.2,57.8,87.6,57.2,69.6,history,82.22865108906922
Q2 2011,420109.0,404307.0,183326.9,289804.0,77.1,,81.8,0.5,196.5,559.7,0.5,-0.7,-1.5,1223561.0,3.5,1.5,83.6,85.0,17.4,95.9,0.5,97.2,89.2,60.3,0.3,75.3,149.4,493.3,67.7,58.1,87.2,60.7,70.5,history,81.69701339237993
Q3 2011,421918.0,406699.0,186937.9,291142.0,77.2,,75.4,0.5,260.8,746.6,0.5,-0.3,-2.0,1236977.0,3.0,1.5,84.3,85.9,30.4,95.9,0.8,97.3,89.4,56.1,0.3,74.9,198.2,661.7,69.0,58.3,87.4,60.5,70.4,history,82.18035712878464
Q4 2011,422965.0,410330.0,187946.7,292648.0,77.1,,74.3,0.5,325.0,892.8,0.6,-0.9,-2.9,1248114.0,3.1,1.5,85.1,86.3,29.9,95.6,0.3,96.7,90.4,56.0,0.3,73.9,245.8,753.3,70.1,57.3,87.8,59.5,71.6,history,82.9140616049073
Q1 2012,424834.0,412672.0,187513.7,295347.0,76.9,,79.9,0.5,298.4,823.6,0.7,-0.6,-2.9,1254818.0,3.4,1.5,85.8,86.7,18.3,95.4,0.3,96.4,91.0,61.6,0.3,73.8,212.6,625.0,71.3,57.4,88.0,60.6,72.6,history,83.38730200234033
Q2 2012,424468.0,413777.0,188396.2,300155.0,76.4,,76.6,0.5,298.6,809.8,0.8,-0.4,-3.8,1280673.0,3.7,1.5,86.5,87.2,20.0,95.1,0.3,95.8,91.4,61.7,0.3,75.4,208.4,628.8,72.8,57.1,88.5,66.1,73.4,history,83.61058579361425
Q3 2012,429319.0,423666.0,194009.8,301926.0,76.1,,79.4,0.5,260.9,745.2,0.9,0.1,-3.4,1292968.0,3.7,1.5,87.2,87.7,16.2,95.0,0.0,94.8,91.5,64.1,0.3,76.6,186.2,585.1,74.2,57.5,89.2,69.2,74.8,history,85.60882417543114
Q4 2012,428321.0,424929.0,196639.8,297799.0,76.5,,81.2,0.5,210.3,599.3,0.9,1.2,-2.8,1306032.0,3.4,1.2,88.0,88.5,16.8,94.5,0.0,94.7,91.6,64.8,0.3,77.8,154.2,542.2,75.7,58.0,90.2,73.8,75.6,history,85.86403451785553
Q1 2013,431025.0,429001.0,199275.3,297757.0,77.3,,87.9,0.5,192.1,512.8,0.7,2.4,-2.7,1322391.0,3.0,1.0,88.7,89.3,13.6,94.3,0.0,94.0,92.2,69.2,0.3,79.8,145.3,484.0,77.1,62.5,91.0,77.6,76.9,history,86.68685044370832
Q2 2013,433271.0,431909.0,195880.4,304196.0,78.3,,90.3,0.5,175.2,496.2,0.8,3.3,-3.4,1343184.0,2.7,0.9,89.4,90.0,14.8,94.7,0.0,93.7,92.4,73.6,0.3,82.3,148.6,465.3,78.4,65.2,91.4,78.8,78.1,history,87.27446063830067
Q3 2013,436560.0,438341.0,202814.0,308032.0,80.1,,92.2,0.5,169.3,488.0,0.9,4.4,-2.0,1348698.0,2.6,0.8,90.1,90.9,14.4,95.0,0.0,93.6,93.1,76.5,0.3,84.4,153.8,468.5,80.1,68.0,91.9,80.3,79.3,history,88.5741541636163
Q4 2013,438707.0,440312.0,202751.6,309714.0,82.1,,93.8,0.5,147.9,423.1,1.1,4.9,-0.3,1357086.0,2.4,0.8,90.9,91.9,14.2,95.2,0.0,93.5,94.0,81.0,0.3,86.2,141.5,429.9,81.4,68.8,92.8,80.2,81.0,history,88.97242778587953
Q1 2014,442615.9,446657.0,207816.1,311898.0,84.3,,95.4,0.5,138.8,358.3,1.4,5.4,-1.3,1368547.0,2.4,0.7,91.7,92.9,14.8,95.5,0.0,93.6,93.7,83.9,0.3,87.6,124.2,393.5,82.7,70.2,93.6,79.8,82.0,history,90.25454150138445
Q2 2014,446794.2,454849.0,216005.0,317180.0,86.3,,96.0,0.5,132.5,327.4,1.7,5.7,0.3,1382996.0,2.6,0.7,92.5,93.9,12.7,95.7,-0.1,94.0,94.6,86.9,0.3,88.1,112.2,364.6,84.2,69.8,93.5,80.9,83.6,history,91.90987255850287
Q3 2014,450676.8,459678.0,218784.5,318715.0,88.1,,95.7,0.5,134.5,374.7,1.9,6.1,0.0,1393743.0,2.5,0.6,93.2,94.6,13.0,96.0,-0.2,94.3,95.8,90.4,0.3,88.8,111.7,389.2,85.7,67.9,94.8,85.4,85.1,history,92.88565303638676
Q4 2014,454196.6,461296.0,217221.9,321384.0,88.8,,92.8,0.5,146.4,441.6,1.9,6.6,-1.5,1412172.0,2.2,0.6,94.0,95.2,16.0,96.5,-0.2,94.4,96.3,92.0,0.3,90.1,133.1,468.7,87.3,66.6,95.2,89.7,86.6,history,93.21259708551001
Q1 2015,456117.9,462745.0,217391.2,319907.0,90.1,,97.1,0.5,136.1,412.9,1.9,7.1,0.0,1420811.0,2.0,0.6,94.7,95.7,16.6,97.2,-0.2,94.8,96.8,94.4,0.3,91.3,142.5,489.8,89.0,67.4,95.8,94.5,88.0,history,93.505391848909
Q2 2015,458389.3,469585.0,222217.8,323221.0,92.0,,99.8,0.5,135.3,375.9,2.0,7.7,-0.5,1437322.0,1.9,0.6,95.5,96.2,13.7,97.6,-0.2,95.2,97.4,96.1,0.3,92.0,136.2,460.1,90.6,71.9,96.4,97.8,90.1,history,94.88752862023347
Q3 2015,460337.5,469289.0,219480.5,326566.0,93.3,,93.1,0.5,159.9,414.7,2.3,8.2,0.2,1451127.0,1.9,0.5,96.2,96.7,19.4,97.9,-0.2,95.7,97.9,92.7,0.3,92.9,161.3,553.6,92.2,77.4,96.9,99.8,91.8,history,94.82771685352118
Q4 2015,463265.2,471095.0,219829.2,328781.0,94.8,,91.5,0.5,172.9,444.6,2.8,8.7,1.0,1472062.0,1.9,0.5,96.9,97.2,17.0,98.4,-0.3,96.5,98.1,93.9,0.3,94.7,168.2,642.0,93.6,80.1,97.0,96.0,93.3,history,95.19264945717791
Q1 2016,465442.6,478085.0,225423.2,330851.0,96.9,,87.6,0.5,199.4,531.6,3.4,9.7,2.2,1495475.0,1.9,0.5,97.6,97.7,20.5,98.9,-0.4,97.4,98.3,89.3,0.5,96.1,193.8,757.9,94.8,87.4,96.7,89.8,95.4,history,96.60509624541737
Q2 2016,468263.1,483971.0,226003.8,333802.0,98.0,,90.5,0.5,177.3,509.6,3.3,10.3,3.8,1528560.0,1.8,0.4,98.3,98.2,15.6,99.2,-0.4,98.2,98.7,94.9,0.5,96.6,158.3,633.0,96.6,92.9,98.0,90.0,96.7,history,97.79446130916237
Q3 2016,470969.7,487915.0,226382.6,335825.0,98.4,,97.7,0.3,153.8,511.1,3.2,10.4,3.8,1555060.0,1.7,0.3,99.1,98.9,13.2,99.6,-0.4,99.1,99.5,98.9,0.5,97.7,145.7,535.9,98.3,100.4,98.8,94.3,98.4,history,98.5914126872477
