quarter,UK real GDP,UK nominal GDP,UK CPI,UK unemployment rate,UK corporate profits,UK household income,UK residential property price index,UK commercial real estate price index - aggregate,UK commercial real estate price index - prime,UK commercial real estate price index - secondary,UK equity prices,Bank Rate,Sterling IG corporate bond spread,Sterling HY corporate bond spread,Secured lending to UK individuals,Consumer credit to UK individuals,Lending to UK PNFCs,UK aggregate household deposit growth,PPP-weighted World real GDP,MER-weighted world import volumes,Oil price,Volatility index,GBP-EUR exchange rate index,GBP-USD exchange rate index,Euro area real GDP,France real GDP,Germany real GDP,Ireland real GDP,Euro area consumer price index,Euro area unemployment rate,ECB policy rate,Euro area residential property price index,Euro area commercial property price index,US real GDP,US unemployment rate,US equity prices,US policy rate,US residential real estate price index,US commercial real estate price index,US dollar IG corporate bond spread,US dollar HY corporate bond spread,China real GDP,China household income growth,China residential property price index,Hong Kong real GDP,Hong Kong unemployment rate,Hong Kong residential property price index,Hong Kong commercial real estate price index,India real GDP,Singapore real GDP,Singapore unemployment rate,PPP-weighted rest of world real GDP,period_kind,UK nominal GDP index
Q2 2015,510095,480944,100.1,5.6,233548,341066,84.2,,,,92.7,0.5,135.0,376.0,2.0,7.6,-0.6,3.4,86.7,89.8,62.1,13.7,119.2,119.1,92.2,93.4,93.2,73.4,95.5,11,-0.2,86.6,82.7,90.5,5.4,68.1,0.13,80.4,80.7,136.0,460.0,75.2,7.9,63.7,94.6,3.3,78.6,86,75.3,88.5,2,90.7,history,89.60331477713936
Q3 2015,512070,481713,100.1,5.3,232586,346075,85.9,,,,86.5,0.5,160.0,415.0,2.3,8.1,0.3,3.4,87.4,89.8,50.2,19.4,119.9,120.3,92.6,93.7,93.6,76.1,95.1,10.7,-0.2,87.2,81.9,90.8,5.1,65.7,0.14,81.3,81.4,161.0,554.0,76.4,8.9,68.9,95.1,3.3,80.1,88.8,76.7,89.6,1.9,91.2,history,89.74658498960406
Q4 2015,515430,483146,100.3,5.1,232165,347261,88,,,,85.1,0.5,173.0,445.0,2.8,8.7,1.0,3.8,88,90,43.3,17.0,119.2,117.8,93,93.8,94.1,76.8,95.1,10.5,-0.23,87.8,83.5,91,5,66.5,0.16,82.6,81.5,168.0,642.0,77.7,7.5,72.4,95.2,3.3,77.1,88.3,78.3,89.5,1.9,91.6,history,90.01356316185621
Q1 2016,516456,489770,99.8,5.1,236786,350014,89.8,,,,81.4,0.5,199.0,532.0,3.5,9.8,2.2,5.3,88.8,89.1,34.5,20.5,111.7,111.2,93.5,94.4,94.9,73.8,94.1,10.3,-0.32,88.9,84.8,91.5,4.9,63.2,0.36,83.6,79,194.0,758.0,78.8,8,77.4,94.9,3.4,72.1,84.5,80.5,90.2,1.8,92.1,history,91.24766184503716
Q2 2016,518794,497175,100.4,4.9,239147,349382,90.9,,,,84.1,0.5,177.0,510.0,3.4,10.2,3.7,6.1,89.5,90,46,15.6,109.3,111.5,93.7,94.2,95.2,74.7,95.4,10.1,-0.4,89.7,86.4,91.8,4.9,67.3,0.37,84.4,80.4,158.0,633.0,80.2,8.1,83.8,96.3,3.4,72.2,80.8,82,91.1,2.1,92.7,history,92.62726642670303
Q3 2016,520379,500613,100.9,4.8,240093,352454,91.7,,,,90.8,0.34,154.0,511.0,3.3,10.4,3.7,6.8,90.2,90.6,45.8,13.2,101.2,102,94.2,94.4,95.5,74.9,95.4,9.9,-0.4,90.4,88.1,92.3,4.9,70.0,0.4,85.5,84.1,146.0,536.0,81.6,7.2,90,97.4,3.4,75.7,80.7,83.7,91.8,2.1,93.1,history,93.26779047150619
Q4 2016,523484,507154,101.5,4.7,244823,347955,92.7,,,,92.9,0.25,151.0,469.0,3.1,10.6,3.1,5.9,91.1,92.1,50.1,14.0,99.1,96.4,94.9,95,95.8,83.1,95.8,9.7,-0.4,91,87.8,92.8,4.8,70.8,0.45,86.9,85.3,135.0,463.0,82.9,7.8,93.4,98.5,3.4,80.4,83.9,84.8,93.5,2.2,93.9,history,94.48642565971367
Q1 2017,526081,512085,102,4.6,246473,347419,93.8,,,,97.6,0.25,145.0,427.0,2.8,10.2,3.1,4.9,91.9,93.3,54,11.7,100,96.3,95.6,95.7,97,80.5,95.7,9.5,-0.4,91.4,88,93.4,4.6,75.3,0.7,88.1,84.6,125.0,393.0,84.3,7.9,93.7,99.1,3.3,82.7,89.8,85.9,94,2.2,94.6,history,95.40510630687025
Q2 2017,527622,513953,103.2,4.4,245573,354277,94.9,,,,99.9,0.25,138.0,397.0,3.2,10.2,3.1,3.6,92.8,95.1,50.2,11.5,100,99.4,96.2,96.4,97.7,80.6,96.9,9.2,-0.4,92.2,89.6,93.8,4.4,77.7,0.95,89.2,87.5,120.0,380.0,85.8,8.2,94.5,100,3.2,87.5,93.5,87.5,94.3,2.2,95.4,history,95.75312809735668
Q3 2017,529856,517482,103.7,4.3,246366,355556,96.1,,,,99.8,0.25,128.0,369.0,3.4,10.3,2.9,2.9,93.8,95.3,51.7,10.9,95.8,101.7,97,97.1,98.5,85.8,96.8,9,-0.4,93.2,92.6,94.5,4.3,79.9,1.16,90.6,88.8,112.0,375.0,87.2,8.7,94.3,100.8,3.1,89.1,94.5,89.2,96.4,2.1,96.1,history,96.41060609448009
