quarter,UK real GDP,UK nominal GDP,UK CPI,UK unemployment rate,UK corporate profits,UK corporate profits – Energy extraction sector,UK corporate profits – Non-energy extraction sectors,UK household income,UK residential property price index,UK commercial real estate price index - aggregate,UK equity prices,Bank Rate,Sterling IG corporate bond spread,Sterling HY corporate bond spread,Secured lending to UK individuals,Consumer credit to UK individuals,Lending to UK PNFCs,UK aggregate retail deposits,PPP-weighted world real GDP,MER-weighted world import volumes,Oil price,UK natural gas price,Volatility index,GBP-EUR exchange rate index,GBP-USD exchange rate index,Euro area real GDP,France real GDP,Germany real GDP,Euro area consumer price index,Euro area unemployment rate,ECB policy rate,Euro area residential property price index,Euro area commercial property price index,US real GDP,US unemployment rate,US equity prices,US policy rate,US residential real estate price index,US commercial real estate price index,US dollar IG corporate bond spread,US dollar HY corporate bond spread,China real GDP,China residential property price index,Hong Kong real GDP,Hong Kong unemployment rate,Hong Kong residential property price index,Hong Kong commercial real estate price index,India real GDP,Singapore real GDP,Singapore unemployment rate,PPP-weighted rest of world real GDP,period_kind,UK nominal GDP index
Q1 2019,614936,549060,78.9,3.8,262048,3664,258384,373146,79.1,,86.2,0.75,169.0,580.0,3.3,7.1,4.7,3.0,85.8,88.2,62.9,48.8,16.6,95.9,104,94.8,96.1,99.8,81.6,7.8,-0.4,79.2,112.6,86.8,3.9,46.0,2.5,63.7,90.8,137.0,426.0,76.6,96.3,100.6,2.8,127.1,156.3,77.3,83.3,2.2,89.2,history,75.76125531926637
Q2 2019,616853,556104,79.7,3.9,263538,3406,260132,379427,79.4,,89.6,0.75,154.0,519.0,3.2,6.2,5.3,3.5,86.6,89.4,69.3,31.8,15.1,92.4,101.6,95.2,96.6,99.9,82.9,7.6,-0.4,80.2,115.1,87.6,3.6,48.8,2.5,64.1,95.3,124.0,402.0,77.7,98.2,100,2.8,135.8,162.8,78.4,83.9,2.3,90.1,history,76.73321153984138
Q3 2019,621227,562999,80.1,3.9,270159,2950,267209,378358,79.3,,89.7,0.75,147.0,506.0,3.3,6.0,6.1,3.9,87.1,88.5,62.2,27.7,16.0,93.4,98.3,95.3,96.7,100.2,82.8,7.5,-0.41,81,115.8,88.6,3.6,50.0,2.3,64.7,94.3,122.0,408.0,78.7,99.7,96.6,2.9,133.5,160.2,78.8,84,2.2,90.2,history,77.68460820947008
Q4 2019,621229,565758,80.2,3.7,272661,2584,270077,380608,79.6,,90.2,0.75,141.0,482.0,3.5,6.1,3.0,3.9,87.2,88.4,64.1,32.2,13.9,97.2,105.4,95.4,96.2,100.1,83,7.5,-0.5,82.1,116.3,89.2,3.6,52.2,1.83,65.5,93.3,112.0,395.0,79.8,100.8,96.3,3.1,131.2,149.9,79,84.2,2.2,89.6,history,78.06530486088498
Q1 2020,604719,555891,80.2,4.1,262157,1244,260913,372604,80.5,,84.9,0.61,158.0,569.0,3.7,3.7,8.6,4.8,84.5,85.5,51.6,24.9,30.4,93.4,99,92.2,91.3,97.9,82.5,7.3,-0.5,83.4,116.7,87.9,3.8,51.9,1.41,66.4,94.8,157.0,512.0,71.5,101.1,91.6,3.8,129.9,138.2,79.1,84.2,2.5,88.5,history,76.70382104083761
Q2 2020,481769,476160,80.2,4.1,187836,621,187215,366887,80.5,,73.5,0.1,205.0,849.0,3.0,-3.8,10.9,7.7,79.7,74.4,30,12.8,34.5,90.9,98.6,81.9,80,89.2,83.1,7.7,-0.5,84.3,117.9,81,13,49.6,0.25,66.8,92.1,209.0,717.0,79.6,102.8,90.4,5.7,132.1,130.8,61.2,74,3,82.7,history,65.7022535475574
Q3 2020,562648,533806,80.5,5,239508,693,238815,378316,81.3,,75.1,0.1,153.0,640.0,2.9,-4.6,8.5,7.7,85.4,81.6,44.4,21.3,25.9,91.1,103.2,91.5,92.6,97,82.8,8.6,-0.5,85.1,117,87.3,8.8,56.1,0.25,68.5,93.9,140.0,537.0,82.3,104.3,92.7,6.1,132.1,132.4,74.9,80.7,3.4,86.2,history,73.65645404319437
Q4 2020,570338,537629,80.6,5.3,235557,319,235238,378833,84.2,,77.9,0.1,129.0,506.0,3.2,-7.5,9.4,10.4,87.1,85.4,45.1,40.6,25.5,91.9,108.9,91.8,92.4,98.1,82.8,8.3,-0.5,86.8,115.4,88.3,6.8,60.2,0.25,71.8,96.7,120.0,453.0,84.5,104.7,93,6.4,131.1,142,80,83.7,3.2,87.9,history,74.18396520606466
Q1 2021,564411,537992,80.7,4.9,234966,1185,233781,390485,86.7,,84.3,0.1,110.0,411.0,3.9,-8.5,3.6,12.2,88.1,87.7,61.1,54.4,23.2,97,110.1,92.3,92.8,97,83.4,8.3,-0.5,88.4,115,89.5,6.2,65.4,0.25,74.7,97.6,100.0,362.0,85,106,99.1,7,132.8,144.7,81,87.8,2.9,89.2,history,74.2340532395781
Q2 2021,605353,568521,81.9,4.7,257875,2257,255618,390845,88.1,,89.1,0.1,108.0,363.0,5.5,-1.9,0.3,9.9,88.9,89.4,68.1,61.5,18.0,96.3,110.3,94.4,94,99.5,84.6,8.1,-0.5,90.2,117.6,90.9,5.9,70.7,0.25,78,100.1,92.0,326.0,86.2,107.8,97.1,5.9,135.4,146.4,75.4,87.6,2.7,90.1,history,78.44655344655345
