quarter,UK real GDP,UK nominal GDP,UK CPI,UK unemployment rate,UK corporate profits,UK household income,UK residential property price index,UK commercial real estate price index - aggregate,UK commercial real estate price index - prime,UK commercial real estate price index - secondary,UK equity prices,Bank Rate,Sterling IG corporate bond spread,Sterling HY corporate bond spread,Secured lending to UK individuals,Consumer credit to UK individuals,Lending to UK PNFCs,UK aggregate Retail Deposit volume,PPP-weighted World real GDP,MER-weighted world import volumes,Oil price,UK natural gas price,Volatility index,GBP-EUR exchange rate index,GBP-USD exchange rate index,Euro area real GDP,France real GDP,Germany real GDP,Ireland real GDP,Euro area consumer price index,Euro area unemployment rate,ECB policy rate,Euro area residential property price index,Euro area commercial property price index,US real GDP,US unemployment rate,US equity prices,US policy rate,US residential real estate price index,US commercial real estate price index,US dollar IG corporate bond spread,US dollar HY corporate bond spread,China real GDP,China household income growth,China residential property price index,Hong Kong real GDP,Hong Kong unemployment rate,Hong Kong residential property price index,Hong Kong commercial real estate price index,India real GDP,Singapore real GDP,Singapore unemployment rate,PPP-weighted rest of world real GDP,period_kind,UK nominal GDP index
Q1 2010,465380,396167,88.2,8,182320,287242,59.9,,,,67.5,0.5,189.0,627.0,0.8,-1.8,-4.3,3.4,68.6,64.8,76.8,35.7,20.2,95.5,124.2,86.4,86.9,83.6,43.4,79.4,10.3,0.25,70.6,75.8,78.5,9.8,27.4,0.13,48.2,43,170.0,621.0,45.8,9.8,,79.6,4.7,36.7,43,49.4,64,2.2,74.4,history,62.88045686568301
Q2 2010,470655,402860,89.3,7.9,187829,293109,60.2,,,,67.2,0.5,199.0,570.0,0.8,-2.3,-4.0,3.0,69.7,67.8,78.6,38.3,26.3,99.4,118.8,87.3,87.3,85.5,43.7,80.4,10.3,0.25,71,77.2,79.3,9.6,27.6,0.19,48.2,46.9,176.0,624.0,46.9,10.6,,80.9,4.6,38.2,44.9,50.6,67.9,2.2,75.6,history,63.942783858597664
Q3 2010,473954,405279,89.6,7.8,189145,292735,60.2,,,,66.7,0.5,212.0,570.0,0.7,-1.9,-3.4,2.7,70.7,69.6,76.4,43.2,24.3,101.7,123.5,87.6,87.8,86.2,43.7,80.3,10.2,0.25,71.3,77.3,79.9,9.5,26.7,0.19,47.5,47,184.0,653.0,48.1,11.2,,81.6,4.3,40.2,46.6,52.1,66,2.1,76.6,history,64.32673261040709
Q4 2010,474526,407889,90.5,7.9,190591,293460,59.7,,,,72.5,0.5,210.0,567.0,0.5,-1.3,-3.4,2.4,71.5,70.8,86.9,52.7,19.3,98.7,125.8,88.1,88.4,86.9,42.9,81,10.2,0.25,71.6,78,80.3,9.5,29.4,0.19,46.9,47.3,170.0,570.0,49.3,13.7,,83,4,42.3,51.1,53.3,68.5,2.2,77.4,history,64.74099728267771
Q1 2011,476720,416879,91.8,7.8,196910,288984,59.4,,,,75.0,0.5,201.0,546.0,0.5,-1.4,-2.4,1.9,72.1,72.2,105.2,57,18.5,99.3,127.6,88.9,89.4,88.6,44.4,81.3,10.1,0.25,72.1,77.4,80.1,9,31.7,0.16,46.4,48.7,150.0,479.0,50.5,12.3,46.3,85.2,3.6,45.6,55.7,54.3,69.8,1.9,78,history,66.16790893160982
Q2 2011,477202,413451,93.3,7.9,193653,295268,59.1,,,,74.8,0.5,196.0,558.0,0.5,-0.7,-1.5,1.8,72.8,73.2,116.8,57.7,17.4,96.1,129.9,88.9,89.3,88.7,44.9,82.6,10,0.47,72.3,79.2,80.7,9.1,32.1,0.09,46.1,48.6,149.0,493.0,51.7,14.2,46.8,84.9,3.6,48.4,60.7,55,69.7,2,78.7,history,65.62380958427508
Q3 2011,478726,417461,93.8,8.3,198617,297188,59.1,,,,68.9,0.5,260.0,745.0,0.5,-0.3,-2.0,2.3,73.4,74.1,112.9,54.3,30.4,96.7,128.2,89,89.7,89.4,44.3,82.4,10.3,0.72,71.9,79.2,80.6,9,29.9,0.08,45.9,47.7,198.0,662.0,52.7,14.9,46.9,85.1,3.4,48.3,62.3,55,71.5,2.1,79.6,history,66.26028519186326
Q4 2011,479335,421718,94.7,8.4,201124,298825,59,,,,68.0,0.5,323.0,889.0,0.6,-0.9,-2.9,2.7,74.1,74.8,109.3,56.8,29.9,98.9,125.2,88.7,89.9,89.1,44.2,83.3,10.7,0.55,71.5,79.2,81.5,8.6,29.9,0.08,45.3,49.6,246.0,753.0,53.5,15.4,46.6,85.5,3.3,47.5,61.3,55.8,71.9,2.1,80.3,history,66.93596515732534
Q1 2012,482583,424148,95.1,8.2,201337,302515,59.2,,,,73.1,0.5,297.0,820.0,0.7,-0.5,-2.8,3.4,74.8,75.5,118.7,59.4,18.3,101.6,125.1,88.5,89.9,89.3,44.2,83.5,11,0.25,71,78.7,82.2,8.3,32.8,0.1,45.2,50.8,213.0,625.0,54.5,14,46.3,85.7,3.3,48.3,60.9,56.6,73.2,2.1,81.2,history,67.32165985219798
Q2 2012,482299,426054,95.8,8,203122,305811,59.5,,,,70.1,0.5,298.0,808.0,0.8,-0.4,-3.7,4.3,75.4,75.9,108.7,57.1,20.0,104.6,126,88.2,89.8,89.5,44.7,84.6,11.3,0.25,70.4,78.8,82.6,8.2,32.9,0.15,46.2,50.1,208.0,629.0,55.6,12.5,46,86.2,3.3,52.7,65,57.3,73.9,1.9,81.8,history,67.6241841684232
